origin_country,destination_country,carrier,carrier_cost,weight_kg,volume_cbm,delivery_status,subsidy_eligibility,transit_time_days,response_score,signed_or_date,request_reference_n°,greenlight_date,dispatch_date,request_date
Kenya,Burundi,Kuehne Nagel,0,782.2,43.78,Delivered,0,0,0.8,2024-02-14 00:00:00,SR_24-027_NBO hub_Zambia,2024-03-10 14:10:00,,2024-03-10 00:10:00
Kenya,Burundi,Kuehne Nagel,0,1714.95,0.54,Delivered,0,0,0.8,2024-08-16 00:00:00,SR_24-061_NBO hub_DR Congo,2024-08-22 00:00:00,,2024-08-22 00:00:00
Kenya,Uganda,Siginon Logistics,0,1434.35,16.57,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-021_NBO hub_Uganda,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Guinea,Siginon Logistics,0,10825.27,44.59,Delivered,0,0,0.8,2025-02-02 09:20:00,SR_25-023_NBO hub_Uganda,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Burundi,Scan Global,0,18.54,4.49,Delivered,0,0,0.8,2024-07-15 00:00:00,SR_24-029_NBO hub_Madagascar,2024-06-05 00:00:00,,2024-06-05 00:00:00
Kenya,Zambia,Kuehne Nagel,0,2701.8,9.79,Delivered,0,0,0.8,2024-01-30 00:00:00,_RARE_,2024-07-01 00:00:00,,2024-07-28 00:00:00
Kenya,Uganda,Siginon Logistics,0,1438.38,16.8,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-021_NBO hub_Uganda,2025-04-02 09:30:00,2025-04-02 10:30:00,2025-04-02 09:30:00
Kenya,Zimbabwe,Freight In Time,0,1552.97,9.63,Delivered,0,0,0.8,2024-01-02 00:00:00,_RARE_,2024-03-02 00:00:00,,2024-03-02 00:00:00
Kenya,Uganda,Siginon Logistics,0,1556.13,16.57,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-022_NBO hub_Uganda,2025-04-02 10:05:00,2025-05-02 09:30:00,2025-04-02 10:05:00
Kenya,DR Congo,Kuehne Nagel,0,32.26,70.86,Delivered,0,0,0.8,2024-03-25 00:00:00,_RARE_,2024-03-20 00:00:00,,2024-03-20 00:00:00
Kenya,Zambia,Kuehne Nagel,0,667.07,5.94,Delivered,0,0,0.8,2024-01-25 00:00:00,_RARE_,2024-02-02 00:00:00,,2024-02-02 00:00:00
Kenya,Tanzania,Kuehne Nagel,0,2631.21,3.28,Delivered,0,0,0.8,2025-01-24 12:15:00,SR_25-014_NBO hub_Tanzania,2025-01-24 05:15:00,2025-01-28 12:30:00,2025-01-24 05:15:00
Kenya,Uganda,Siginon Logistics,0,9637.04,16.89,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-021_NBO hub_Uganda,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Zimbabwe,Freight In time,0,438.07,16.27,Delivered,0,0,0.8,2024-06-01 00:00:00,_RARE_,2024-08-02 00:00:00,,2024-08-07 00:00:00
Kenya,Sao Tome,Kuehne Nagel,0,389.52,3.78,Delivered,0,0,0.8,2025-01-24 11:05:00,SR_25-013_ NBO hub_Tanzania,2025-01-24 11:30:00,2025-01-24 12:00:00,2025-01-24 11:30:00
Kenya,Madagascar,DHL Express,0,16.24,0.57,Delivered,0,0,0.8,2024-07-17 00:00:00,_RARE_,2024-05-09 00:00:00,,2024-05-23 00:00:00
Kenya,Uganda,Siginon Logistics,0,1489.76,16.99,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-020_NBO hub_Uganda,2025-03-02 01:30:00,2025-03-02 03:30:00,2025-03-02 01:30:00
Kenya,Tanzania,Siginon Logistics,0,1412.98,16.57,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-023_NBO hub_Uganda,2025-03-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Cote d'lvoire,Siginon Logistics,0,1427.2,2.58,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-021_NBO hub_Uganda,2025-01-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Comoros,Kuehne Nagel,0,1484.43,0.24,Delivered,0,0,0.8,2025-10-02 08:04:00,_RARE_,2025-10-02 01:50:00,2025-11-02 05:10:00,2025-10-02 01:50:00
Kenya,Burundi,Kuehne Nagel,0,7.47,16.57,Delivered,0,0,0.8,2024-05-13 00:00:00,_RARE_,2024-04-02 00:00:00,,2024-04-02 00:00:00
Kenya,Sierra Leone,Freight In Time,0,2806.86,45.56,Delivered,0,0,0.8,2025-05-02 12:16:00,SR_24-005A_NBO hub_Zimbabwe,2025-07-02 14:00:00,2025-02-20 12:00:00,2025-07-02 14:00:00
Kenya,DR Congo,Kuehne Nagel,0,2490.08,73.98,Delivered,0,0,0.8,2025-07-24 12:10:00,SR_25-024_NBO hub_DR Congo,2025-07-22 14:00:00,2025-02-20 12:00:00,2025-07-24 14:00:00
Kenya,Zimbabwe,UNHAS ,0,48092.0,16.54,Delivered,0,0,0.8,2024-01-02 00:00:00,_RARE_,2024-10-07 11:40:00,,2024-10-15 11:40:00
Kenya,_RARE_,Kuehne Nagel,0,1444.94,2.53,Delivered,0,0,0.8,2025-01-24 00:00:00,SR_25-010_ NBO hub_Tanzania,2025-04-02 10:00:00,2025-01-02 09:00:00,2025-04-02 10:00:00
Kenya,Central Africa Republic,Kuehne Nagel,0,32.78,7.55,Delivered,0,0,0.8,2025-01-24 12:15:00,SR_25-014_NBO hub_Tanzania,2025-01-31 05:10:00,2025-01-28 12:30:00,2025-01-24 05:15:00
Kenya,Cote d'lvoire,Scan Global,0,9603.55,64.1,Delivered,0,0,0.8,2024-07-04 00:00:00,_RARE_,2024-06-14 00:00:00,,2024-02-14 00:00:00
Kenya,_RARE_,Kuehne Nagel,0,1446.43,9.85,Delivered,0,0,0.8,2025-01-30 03:10:00,SR_25-014_NBO hub_Tanzania,2025-01-31 04:22:00,2025-11-02 09:45:00,2025-01-31 04:22:00
Kenya,Zambia,Freight In Time,0,179.88,16.51,Delivered,0,0,0.8,2024-01-25 00:00:00,SR_24-004_NBO hub_Zambia,2024-02-16 00:00:00,,2024-02-02 00:00:00
Kenya,Madagascar,DHL Express,0,1078.95,16.53,Delivered,0,0,0.8,2024-01-02 00:00:00,_RARE_,2024-10-24 11:30:00,,2024-10-15 13:30:00
Kenya,Burundi,UNHAS ,0,12.19,3.29,Delivered,0,0,0.8,2024-05-25 17:21:00,_RARE_,2024-07-10 18:30:00,,2024-07-10 18:30:00
Kenya,Rwanda,Freight In Time,0,1445.89,1.74,Delivered,0,0,0.8,2024-07-19 00:00:00,SR_24-060_NBO hub_Chad,2024-02-22 00:00:00,,2024-02-22 00:00:00
Kenya,Uganda,Kuehne Nagel,0,1428.36,16.93,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-021_NBO hub_Uganda,2025-04-02 09:30:00,2025-04-02 10:30:00,2025-04-02 09:30:00
Kenya,Comoros,Siginon Logistics,0,1811.02,7.94,Delivered,0,0,0.8,2024-09-27 09:31:00,SR_24-086_NBO hub_Comoros,2024-04-02 10:00:00,,2024-09-02 00:00:00
