origin_country,destination_country,carrier,carrier_cost,weight_kg,volume_cbm,delivery_status,subsidy_eligibility,transit_time_days,response_score,signed_or_date,request_reference_n°,greenlight_date,dispatch_date,request_date
Kenya,Madagascar,_RARE_,0,1417.69,16.57,Delivered,0,0,0.8,2025-07-15 09:31:00,SR_24-051_NBO hub_Madagascar,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Uganda,Kuehne Nagel,0,1432.72,16.48,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-019_NBO hub_Uganda,2025-01-02 01:40:00,2025-01-02 02:00:00,2025-01-02 01:40:00
Kenya,Uganda,Siginon Logistics,0,13591.07,2.63,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-023_NBO hub_Uganda,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Madagascar,Freight In time,0,22.02,46.2,Delivered,0,0,0.8,2024-05-10 17:21:00,SR_24-093_NBO hub_Rwanda,2024-07-10 18:30:00,,2024-07-10 18:30:00
Kenya,Uganda,Siginon Logistics,0,1498.41,17.12,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-020_NBO hub_Uganda,2025-03-02 01:30:00,2025-03-02 03:30:00,2025-03-02 01:30:00
Kenya,Zimbabwe,KQ:Direct charter,0,6022.83,45.22,Delivered,0,0,0.8,2025-01-02 12:16:00,SR_24-005A_NBO hub_Zimbabwe,2025-10-02 01:30:00,2025-01-02 03:00:00,2025-03-02 01:30:00
Kenya,Eritrea,Freight In Time,0,1447.39,0.57,Delivered,0,0,0.8,2024-03-19 00:00:00,_RARE_,2024-05-15 00:00:00,,2024-04-01 00:00:00
Kenya,Mauritius,Scan Global,0,1447.18,63.41,Delivered,0,0,0.8,2024-04-15 00:00:00,SR_24-029_NBO hub_Madagascar,2024-06-05 00:00:00,,2024-06-05 00:00:00
Kenya,Eritrea,Kuehne Nagel,0,7422.51,16.52,Delivered,0,0,0.8,2024-04-15 00:00:00,SR_24-051_NBO hub_Madagascar,2024-06-22 00:00:00,,2024-06-22 00:00:00
Kenya,Madagascar,Kuehne Nagel,0,3165.07,46.0,Delivered,0,0,0.8,2024-09-28 00:00:00,SR_24-088_NBO hub_Rwanda,2024-09-30 00:00:00,,2024-09-30 00:00:00
Kenya,Zimbabwe,DHL Express,0,2054.56,134.06,Delivered,0,0,0.8,2024-08-16 00:00:00,SR_24-065_NBO hub_Cote d'lvoire,2024-11-22 00:00:00,,2024-08-22 00:00:00
Kenya,Uganda,Siginon Logistics,0,1413.36,16.57,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-023_NBO hub_Uganda,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Rwanda,Kuehne Nagel,0,326.43,3.32,Delivered,0,0,0.8,2025-01-24 09:20:00,SR_25-013_ NBO hub_Tanzania,2025-01-24 11:30:00,2025-01-28 12:30:00,2025-01-24 11:30:00
Kenya,_RARE_,Kuehne Nagel,0,1501.29,0.12,Delivered,0,0,0.8,2024-04-09 00:00:00,SR_24-071_NBO hub_DR Congo,2024-05-09 00:00:00,,2024-04-09 00:00:00
Kenya,Madagascar,KQ:Direct charter,0,33.28,0.21,Delivered,0,0,0.8,2024-01-25 11:49:00,SR_24-004_NBO hub_Zambia,2024-02-02 00:00:00,,2024-02-02 00:00:00
Kenya,Rwanda,Kuehne Nagel,0,3323.89,16.57,Delivered,0,0,0.8,2025-01-24 12:00:00,SR_25-013_ NBO hub_Tanzania,2025-01-24 11:30:00,2025-01-24 12:00:00,2025-01-24 11:30:00
Kenya,Madagascar,DHL Express,0,34239.32,31.92,Delivered,0,0,0.8,2024-04-15 00:00:00,SR_24-029_NBO hub_Madagascar,2024-06-05 00:00:00,,2024-06-05 00:00:00
Kenya,Ethiopia,Kuehne Nagel,0,791.42,7.67,Delivered,0,0,0.8,2024-08-03 00:00:00,SR_24-027_NBO hub_Zambia,2024-05-09 00:00:00,,2024-05-09 00:00:00
Kenya,Sierra Leone,Scan Global,0,14313.8,10.1,Delivered,0,0,0.8,2024-01-25 00:00:00,SR_24-004_NBO hub_Zambia,2024-02-02 00:00:00,,2024-02-02 00:00:00
Kenya,Tanzania,Siginon Logistics,0,13990.33,68.67,Delivered,0,0,0.8,2025-05-02 12:16:00,SR_25-024_NBO hub_DR Congo,2025-07-02 14:00:00,2025-02-20 12:00:00,2025-07-02 14:00:00
Kenya,Chad,Kuehne Nagel,0,1417.07,16.57,Delivered,0,0,0.8,2025-07-09 08:10:00,SR_25-025_NBO hub_Eritrea,2025-07-24 10:00:00,2025-05-02 09:30:00,2025-04-30 10:00:00
Kenya,Zambia,Siginon Logistics,0,2508.77,9.63,Delivered,0,0,0.8,2025-01-25 09:20:00,SR_24-004_NBO hub_Zambia,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Guinea,Siginon Logistics,0,1412.56,16.57,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-023_NBO hub_Uganda,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Madagascar,Siginon Logistics,0,17.85,16.57,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-023_NBO hub_Uganda,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Uganda,Siginon Logistics,0,1416.18,16.57,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-023_NBO hub_Uganda,2025-04-02 10:05:00,2025-05-02 09:30:00,2025-04-02 10:05:00
Kenya,Zimbabwe,Kuehne Nagel,0,31207.63,6.43,Delivered,0,0,0.8,2024-08-16 00:00:00,SR_24-064_NBO hub_Central Africa Republic,2024-08-22 00:00:00,,2024-08-22 00:00:00
Kenya,Burundi,Freight In Time,0,18.21,46.53,Delivered,0,0,0.8,2024-01-25 00:00:00,SR_24-035_NBO hub_Comoros,2024-02-05 00:00:00,,2024-02-05 00:00:00
Kenya,Uganda,Siginon Logistics,0,1548.85,16.72,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-021_NBO hub_Uganda,2025-04-02 09:00:00,2025-04-02 10:30:00,2025-04-02 09:30:00
Kenya,Sao Tome,Siginon Logistics,0,11133.04,116.23,Delivered,0,0,0.8,2024-04-09 00:00:00,SR_24-071_NBO hub_DR Congo,2024-05-09 00:00:00,,2024-05-09 00:00:00
Kenya,Ethiopia,Kuehne Nagel,0,690.2,7.28,Delivered,0,0,0.8,2024-02-16 00:00:00,_RARE_,2024-05-09 00:00:00,,2024-05-09 00:00:00
Kenya,Zimbabwe,Kuehne Nagel,0,10185.93,10.61,Delivered,0,0,0.8,2024-04-15 00:00:00,SR_24-029_NBO hub_Madagascar,2024-06-05 00:00:00,,2024-06-05 00:00:00
Kenya,Mauritius,Kuehne Nagel,0,7380.77,7.57,Delivered,0,0,0.8,2024-09-28 00:00:00,SR_24-088_NBO hub_Rwanda,2024-09-30 00:00:00,,2024-09-30 00:00:00
