origin_country,destination_country,carrier,carrier_cost,weight_kg,volume_cbm,delivery_status,subsidy_eligibility,transit_time_days,response_score,signed_or_date,request_reference_n°,greenlight_date,dispatch_date,request_date
Kenya,_RARE_,Kuehne Nagel,0,1445.12,10.96,Delivered,0,0,0.8,2025-01-24 12:15:00,SR_25-014_NBO hub_Tanzania,2025-01-24 05:15:00,2025-01-28 12:30:00,2025-01-24 05:15:00
Kenya,Rwanda,Siginon Logistics,0,1444.69,16.54,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-021_NBO hub_Uganda,2025-04-02 10:00:00,2025-05-02 09:30:00,2025-04-02 10:00:00
Kenya,Rwanda,Freight In Time,0,750.19,71.37,Delivered,0,0,0.8,2024-06-13 00:00:00,SR_24-060_NBO hub_Chad,2024-08-22 00:00:00,,2024-08-22 00:00:00
Kenya,Uganda,Siginon Logistics,0,1480.75,16.96,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-020_NBO hub_Uganda,2025-03-02 01:30:00,2025-03-02 03:30:00,2025-03-02 01:30:00
Kenya,Sierra Leone,Kuehne Nagel,0,273.16,46.15,Delivered,0,0,0.8,2024-06-07 00:00:00,SR_24-065_NBO hub_Cote d'lvoire,2024-07-23 00:00:00,,2024-05-03 00:00:00
Kenya,DR Congo,Kuehne Nagel,0,9867.59,44.89,Delivered,0,0,0.8,2025-01-24 01:10:00,_RARE_,2025-10-01 11:30:00,2025-01-02 04:30:00,2025-01-24 11:30:00
Kenya,Eritrea,KQ:Direct charter,0,17.5,0.11,Delivered,0,0,0.8,2024-10-17 00:00:00,_RARE_,2024-06-22 00:00:00,,2024-06-09 00:00:00
Kenya,Zimbabwe,_RARE_,0,1683.61,3.39,Delivered,0,0,0.8,2024-10-02 00:00:00,SR_24-088_NBO hub_Rwanda,2024-05-22 00:00:00,,2024-03-22 00:00:00
Kenya,Madagascar,Freight In Time,0,179.92,52.15,Delivered,0,0,0.8,2024-01-05 00:00:00,SR_24-005A_NBO hub_Zimbabwe,2024-02-02 00:00:00,,2024-02-02 00:00:00
Kenya,Zambia,Kuehne Nagel,0,8424.89,95.38,Delivered,0,0,0.8,2024-07-29 00:00:00,_RARE_,2024-07-10 00:00:00,,2024-07-23 00:00:00
Kenya,_RARE_,Siginon Logistics,0,13831.44,63.68,Delivered,0,0,0.8,2025-01-02 09:20:00,SR_25-021_NBO hub_Uganda,2025-01-02 01:40:00,2025-04-02 02:30:00,2025-01-02 01:40:00
Kenya,Cote d'lvoire,Kuehne Nagel,0,1421.59,16.5,Delivered,0,0,0.8,2025-02-07 01:30:00,SR_24-071_NBO hub_DR Congo,2025-01-24 05:10:00,2025-01-23 11:50:00,2025-01-22 05:10:00
